t,q0,q1,q2,q3,q4,q5,eig0,eig1,eig2,eig3,eig4,eig5,vcmd0,vcmd1,vcmd2,vcmd3,vcmd4,vcmd5,vreal0,vreal1,vreal2,vreal3,vreal4,vreal5
2.853,0.00361,-0.97425,0.61140,-1.43189,-1.57116,0.00359,0.01999,0.36020,0.45835,1.00770,2.67622,4.46591,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02162,-0.00381,-0.03226,0.00036,-0.00557,-0.00016
2.904,0.00373,-0.97334,0.61179,-1.43301,-1.57120,0.00371,0.02002,0.36056,0.45828,1.00770,2.67728,4.46620,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02161,-0.00381,-0.03231,0.00036,-0.00556,-0.00016
2.955,0.00391,-0.97197,0.61237,-1.43469,-1.57125,0.00389,0.02005,0.36112,0.45819,1.00770,2.67888,4.46665,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02159,-0.00381,-0.03239,0.00036,-0.00555,-0.00016
3.006,0.00404,-0.97106,0.61276,-1.43582,-1.57129,0.00401,0.02008,0.36148,0.45812,1.00770,2.67994,4.46695,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02158,-0.00380,-0.03244,0.00036,-0.00554,-0.00016
3.056,0.00422,-0.96969,0.61334,-1.43750,-1.57135,0.00419,0.02011,0.36203,0.45803,1.00770,2.68154,4.46740,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02156,-0.00380,-0.03251,0.00036,-0.00552,-0.00016
3.108,0.00437,-0.96854,0.61382,-1.43891,-1.57140,0.00434,0.02014,0.36249,0.45795,1.00771,2.68288,4.46778,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02155,-0.00380,-0.03257,0.00036,-0.00551,-0.00016
3.158,0.00455,-0.96717,0.61440,-1.44060,-1.57146,0.00452,0.02018,0.36303,0.45785,1.00771,2.68448,4.46823,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02153,-0.00380,-0.03264,0.00036,-0.00550,-0.00016
3.209,0.00470,-0.96602,0.61488,-1.44201,-1.57150,0.00467,0.02021,0.36349,0.45778,1.00771,2.68581,4.46860,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02151,-0.00379,-0.03270,0.00036,-0.00549,-0.00016
3.260,0.00485,-0.96487,0.61536,-1.44342,-1.57155,0.00482,0.02024,0.36394,0.45770,1.00771,2.68715,4.46898,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02149,-0.00379,-0.03276,0.00036,-0.00548,-0.00016
3.310,0.00499,-0.96371,0.61584,-1.44483,-1.57160,0.00497,0.02027,0.36440,0.45762,1.00771,2.68848,4.46936,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02148,-0.00379,-0.03282,0.00036,-0.00547,-0.00016
3.360,0.00517,-0.96232,0.61641,-1.44653,-1.57165,0.00514,0.02031,0.36494,0.45753,1.00771,2.69008,4.46981,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02146,-0.00378,-0.03290,0.00036,-0.00546,-0.00016
3.410,0.00535,-0.96093,0.61698,-1.44823,-1.57171,0.00532,0.02035,0.36548,0.45744,1.00771,2.69169,4.47027,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02144,-0.00378,-0.03297,0.00036,-0.00544,-0.00016
3.462,0.00550,-0.95978,0.61746,-1.44965,-1.57176,0.00547,0.02038,0.36593,0.45736,1.00771,2.69303,4.47065,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02142,-0.00378,-0.03303,0.00036,-0.00543,-0.00016
3.513,0.00564,-0.95861,0.61794,-1.45107,-1.57180,0.00561,0.02041,0.36638,0.45729,1.00771,2.69437,4.47103,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02141,-0.00377,-0.03309,0.00036,-0.00542,-0.00016
3.564,0.00579,-0.95745,0.61841,-1.45249,-1.57185,0.00576,0.02044,0.36683,0.45721,1.00771,2.69570,4.47141,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02139,-0.00377,-0.03315,0.00036,-0.00541,-0.00016
3.615,0.00591,-0.95652,0.61879,-1.45363,-1.57189,0.00588,0.02046,0.36718,0.45715,1.00771,2.69678,4.47171,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02137,-0.00377,-0.03320,0.00036,-0.00540,-0.00016
3.666,0.00608,-0.95512,0.61936,-1.45534,-1.57194,0.00605,0.02050,0.36772,0.45706,1.00771,2.69838,4.47217,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02135,-0.00377,-0.03328,0.00036,-0.00539,-0.00016
3.717,0.00623,-0.95395,0.61984,-1.45677,-1.57199,0.00620,0.02053,0.36816,0.45699,1.00771,2.69973,4.47255,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02134,-0.00376,-0.03334,0.00036,-0.00538,-0.00016
3.769,0.00637,-0.95278,0.62031,-1.45820,-1.57204,0.00634,0.02056,0.36861,0.45692,1.00771,2.70107,4.47294,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02132,-0.00376,-0.03340,0.00036,-0.00537,-0.00016
3.820,0.00652,-0.95160,0.62078,-1.45963,-1.57208,0.00649,0.02059,0.36905,0.45684,1.00772,2.70241,4.47332,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02130,-0.00376,-0.03346,0.00036,-0.00536,-0.00016
3.870,0.00666,-0.95043,0.62125,-1.46106,-1.57213,0.00663,0.02062,0.36949,0.45677,1.00772,2.70375,4.47370,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02128,-0.00375,-0.03352,0.00036,-0.00535,-0.00016
3.921,0.00681,-0.94925,0.62173,-1.46249,-1.57217,0.00678,0.02065,0.36993,0.45670,1.00772,2.70509,4.47409,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02126,-0.00375,-0.03358,0.00036,-0.00534,-0.00016
3.972,0.00698,-0.94784,0.62229,-1.46422,-1.57223,0.00695,0.02069,0.37046,0.45661,1.00772,2.70670,4.47455,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02124,-0.00375,-0.03365,0.00036,-0.00532,-0.00016
4.022,0.00710,-0.94689,0.62266,-1.46536,-1.57226,0.00706,0.02071,0.37081,0.45656,1.00772,2.70778,4.47486,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02123,-0.00374,-0.03370,0.00036,-0.00531,-0.00016
4.073,0.00727,-0.94547,0.62322,-1.46709,-1.57232,0.00723,0.02075,0.37133,0.45647,1.00772,2.70939,4.47532,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02120,-0.00374,-0.03378,0.00036,-0.00530,-0.00016
4.125,0.00741,-0.94429,0.62369,-1.46853,-1.57236,0.00738,0.02078,0.37177,0.45640,1.00772,2.71074,4.47571,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02119,-0.00374,-0.03384,0.00036,-0.00529,-0.00016
4.176,0.00755,-0.94310,0.62416,-1.46997,-1.57241,0.00752,0.02081,0.37220,0.45633,1.00772,2.71208,4.47610,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02117,-0.00373,-0.03390,0.00036,-0.00528,-0.00016
4.227,0.00769,-0.94191,0.62462,-1.47141,-1.57245,0.00766,0.02084,0.37264,0.45626,1.00772,2.71343,4.47648,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02115,-0.00373,-0.03396,0.00036,-0.00527,-0.00016
4.277,0.00786,-0.94048,0.62517,-1.47314,-1.57251,0.00783,0.02087,0.37316,0.45618,1.00772,2.71504,4.47695,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02112,-0.00373,-0.03403,0.00036,-0.00525,-0.00016
4.327,0.00800,-0.93928,0.62564,-1.47459,-1.57255,0.00797,0.02090,0.37359,0.45612,1.00772,2.71639,4.47734,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02110,-0.00372,-0.03409,0.00036,-0.00524,-0.00016
4.378,0.00812,-0.93833,0.62601,-1.47575,-1.57258,0.00808,0.02093,0.37393,0.45606,1.00772,2.71747,4.47765,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02109,-0.00372,-0.03414,0.00036,-0.00523,-0.00016
4.429,0.00826,-0.93713,0.62647,-1.47720,-1.57263,0.00822,0.02096,0.37436,0.45600,1.00772,2.71881,4.47804,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02107,-0.00372,-0.03420,0.00036,-0.00522,-0.00016
4.479,0.00840,-0.93593,0.62693,-1.47865,-1.57267,0.00836,0.02099,0.37479,0.45593,1.00772,2.72016,4.47843,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02105,-0.00371,-0.03426,0.00036,-0.00521,-0.00016
4.530,0.00854,-0.93473,0.62739,-1.48010,-1.57272,0.00850,0.02102,0.37522,0.45587,1.00772,2.72151,4.47883,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02103,-0.00371,-0.03433,0.00036,-0.00520,-0.00016
4.581,0.00868,-0.93353,0.62785,-1.48155,-1.57276,0.00864,0.02105,0.37564,0.45580,1.00773,2.72286,4.47922,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02101,-0.00371,-0.03439,0.00036,-0.00519,-0.00016
4.631,0.00882,-0.93232,0.62830,-1.48301,-1.57280,0.00878,0.02108,0.37607,0.45574,1.00773,2.72420,4.47961,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02099,-0.00370,-0.03445,0.00036,-0.00518,-0.00016
4.682,0.00895,-0.93111,0.62876,-1.48446,-1.57285,0.00892,0.02111,0.37649,0.45567,1.00773,2.72555,4.48000,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02097,-0.00370,-0.03451,0.00036,-0.00517,-0.00016
4.734,0.00909,-0.92991,0.62922,-1.48592,-1.57289,0.00906,0.02114,0.37691,0.45561,1.00773,2.72690,4.48040,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02094,-0.00369,-0.03457,0.00036,-0.00516,-0.00016
4.785,0.00923,-0.92870,0.62968,-1.48738,-1.57293,0.00920,0.02117,0.37733,0.45555,1.00773,2.72825,4.48079,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02092,-0.00369,-0.03463,0.00036,-0.00514,-0.00016
4.836,0.00937,-0.92748,0.63013,-1.48885,-1.57298,0.00934,0.02120,0.37775,0.45549,1.00773,2.72960,4.48118,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02090,-0.00369,-0.03469,0.00036,-0.00513,-0.00016
4.887,0.00950,-0.92627,0.63059,-1.49031,-1.57302,0.00947,0.02123,0.37817,0.45543,1.00773,2.73095,4.48158,0.00000,0.00000,-0.05000,0.00000,0.00000,0.00000,-0.02088,-0.00368,-0.03475,0.00036,-0.00512,-0.00016
